[9/23/2015 8:57:24 AM] Connection to station PBAY could not be established.
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035a.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035b.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035c.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035d.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035e.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035f.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035g.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035h.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035i.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035j.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035k.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035l.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035m.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035n.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035o.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035p.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035q.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035r.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035s.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035t.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
